        generated_by     ICGEM (hosted at GFZ-Potsdam)
     generating_date     2022/11/11
----------------------------------------------------------------------
           modelname     GGM05C
     max_used_degree           360
----------------------------------------------------------------------
         tide_system     zero_tide
    zero_degree_term     included
----------------------------------------------------------------------
          refsysname     WGS84
   max_degree_refpot             8
            gmrefpot      3.98600441800E+14[m**3/s**2]
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
----------------------------------------------------------------------
            topo_shm     etopo1 ==> for Bouguer anomaly and geoid
       crust_density     2670.0 [kg/m**3] ==> for Bouguer anomaly and geoid
       water_density     1025.0 [kg/m**3] ==> for Bouguer anomaly
----------------------------------------------------------------------
            topo_grd     etopo1_bin_int ==> for h_topo_over_geoid
----------------------------------------------------------------------
    number_of_points          1346
      latlimit_north       33.051660850000    
      latlimit_south       33.047458990000    
      longlimit_west      -105.09196372000    
      longlimit_east      -105.00005383000    
----------------------------------------------------------------------
description of columns -----------------------------------------------
 1 identifier (from input)
 2 longitude  (from input)    [degree]
 3 latitude   (from input)    [degree]
 4 h_over_ell (from input)     [meter]
 -------------------------------------
 5 height_anomaly              [meter]  T(h)/normal_gravity(h)            
 6 height_anomaly_ell          [meter]  T(h=0)/normal_gravity(h=0)        
 7 geoid                       [meter]  h_anomaly_ell + Topo-Term         
 8 gravity_disturbance          [mGal]  gravity(h) - gamma(h)             
 9 gravity_disturbance_sa       [mGal]  sph. approx. (h=0)                
10 gravity_anomaly              [mGal]  gravity(h) - gamma(h-h_anomaly)   
11 gravity_anomaly_sa           [mGal]  sph. approx. (h=0)                
12 gravity_anomaly_bg           [mGal]  gravity_anomaly_sa + Topo-Term    
13 gravitation                  [mGal]  gravitation(h)                    
14 gravitational_potential [m**2/s**2]  gravitational_potential(h)        
15 gravity                      [mGal]  gravity(h)                        
16 gravity_potential       [m**2/s**2]  gravity_potential(h)              
17 h_topo_over_ell             [meter]  geoid + topo over geoid (model)   
18 h_topo_over_geoid           [meter]  topo over geoid (from model)      
19 normal_gravity               [mGal]  normal_gravity(h)                 
20 normal_gravity_ell           [mGal]  normal_gravity(h=0)               
21 vertical_deflection_abs    [arcsec]  abs(vertical_deflection(h))       
22 vertical_deflection_ew     [arcsec]  vertical_deflection_east-west(h)  
23 vertical_deflection_ns     [arcsec]  vertical_deflection_north-south(h)
----------------------------------------------------------------------

end_of_head ================================================================
6           -105.09196372   33.04745899  0.000000E+00 -2.107235104244E+01 -2.107235104244E+01 -2.142447202879E+01  3.036548012894E+01  3.035719864492E+01  3.686940886052E+01  3.683630799266E+01 -1.596846460620E+02  9.819869097869E+05  6.256049960497E+07  9.796003553658E+05  6.263664529614E+07  1.616191715942E+03  1.637616187971E+03  9.795699898857E+05  9.795699898857E+05  1.198467855514E+01  1.197640113816E+01  4.453507202963E-01
7           -105.09189528   33.04746216  0.000000E+00 -2.107272298523E+01 -2.107272298523E+01 -2.142479307178E+01  3.035276056753E+01  3.034447185754E+01  3.685680409706E+01  3.682369556924E+01 -1.596830542479E+02  9.819868971543E+05  6.256049960678E+07  9.796003429081E+05  6.263664529250E+07  1.616066470977E+03  1.637491264049E+03  9.795699901475E+05  9.795699901475E+05  1.198518144823E+01  1.197688618037E+01  4.458415020704E-01
8           -105.09182684   33.04746532  0.000000E+00 -2.107309494148E+01 -2.107309494148E+01 -2.142511413093E+01  3.034004110525E+01  3.033174517190E+01  3.684419943735E+01  3.681108325170E+01 -1.596814620535E+02  9.819868845215E+05  6.256049960858E+07  9.796003304496E+05  6.263664528886E+07  1.615941197581E+03  1.637366311712E+03  9.795699904085E+05  9.795699904085E+05  1.198568432022E+01  1.197737055452E+01  4.463321176676E-01
9           -105.09175839   33.04746849  0.000000E+00 -2.107346697017E+01 -2.107346697017E+01 -2.142543525596E+01  3.032731924435E+01  3.031901608624E+01  3.683159240087E+01  3.679846855642E+01 -1.596798693804E+02  9.819868718866E+05  6.256049961039E+07  9.796003179896E+05  6.263664528521E+07  1.615815896367E+03  1.637241331623E+03  9.795699906703E+05  9.795699906704E+05  1.198618638297E+01  1.197785449105E+01  4.468228053505E-01
10          -105.09168995   33.04747165  0.000000E+00 -2.107383895804E+01 -2.107383895804E+01 -2.142575635027E+01  3.031459932714E+01  3.030628894838E+01  3.681898729582E+01  3.678585579638E+01 -1.596782765626E+02  9.819868592534E+05  6.256049961219E+07  9.796003055307E+05  6.263664528157E+07  1.615690585534E+03  1.637116341884E+03  9.795699909314E+05  9.795699909314E+05  1.198668684844E+01  1.197833769260E+01  4.473132591060E-01
11          -105.09162151   33.04747482  0.000000E+00 -2.107421096409E+01 -2.107421096409E+01 -2.142607746359E+01  3.030187885500E+01  3.029356125618E+01  3.680638164134E+01  3.677324248759E+01 -1.596766835021E+02  9.819868466199E+05  6.256049961400E+07  9.796002930721E+05  6.263664527792E+07  1.615565265577E+03  1.636991343040E+03  9.795699911932E+05  9.795699911932E+05  1.198718808111E+01  1.197882038966E+01  4.478037171426E-01
12          -105.09155307   33.04747798  0.000000E+00 -2.107458298351E+01 -2.107458298350E+01 -2.142639859300E+01  3.028915848642E+01  3.028083366912E+01  3.679377609505E+01  3.676062928804E+01 -1.596750900609E+02  9.819868339862E+05  6.256049961579E+07  9.796002806127E+05  6.263664527428E+07  1.615439917307E+03  1.636866315900E+03  9.795699914542E+05  9.795699914543E+05  1.198768811074E+01  1.197930241874E+01  4.482940089857E-01
13          -105.09148464   33.04748115  0.000000E+00 -2.107495496682E+01 -2.107495496682E+01 -2.142671969455E+01  3.027643940783E+01  3.026810737351E+01  3.678117182648E+01  3.674801736886E+01 -1.596734966130E+02  9.819868213541E+05  6.256049961760E+07  9.796002681555E+05  6.263664527063E+07  1.615314578613E+03  1.636741298308E+03  9.795699917161E+05  9.795699917161E+05  1.198818733150E+01  1.197978387678E+01  4.487842373485E-01
14          -105.09141620   33.04748431  0.000000E+00 -2.107532701771E+01 -2.107532701771E+01 -2.142704085899E+01  3.026371858983E+01  3.025537934026E+01  3.676856584018E+01  3.673540373280E+01 -1.596719025484E+02  9.819868087200E+05  6.256049961940E+07  9.796002556957E+05  6.263664526699E+07  1.615189192909E+03  1.636616233768E+03  9.795699919771E+05  9.795699919771E+05  1.198868574348E+01  1.198026473349E+01  4.492743672089E-01
15          -105.09134776   33.04748748  0.000000E+00 -2.107569908671E+01 -2.107569908671E+01 -2.142736204240E+01  3.025099722009E+01  3.024265075526E+01  3.675595930765E+01  3.672278955058E+01 -1.596703082409E+02  9.819867960856E+05  6.256049962121E+07  9.796002432361E+05  6.263664526335E+07  1.615063797963E+03  1.636491160005E+03  9.795699922389E+05  9.795699922389E+05  1.198918492269E+01  1.198074508568E+01  4.497645012024E-01
